,period_ending,lyapunov_exponent
116,2019-01-28 14:00:00,0.1916055207181665
117,2019-01-28 15:00:00,0.7895979029875476
118,2019-01-28 16:00:00,1.2853575905021413
119,2019-01-29 10:00:00,0.7896774264719086
120,2019-01-29 11:00:00,0.17703794579754148
121,2019-01-29 12:00:00,0.49066840253725696
122,2019-01-29 13:00:00,0.8726279699219301
123,2019-01-29 14:00:00,1.1185067110350935
124,2019-01-29 15:00:00,1.0287288751295642
125,2019-01-29 16:00:00,0.8985817035424947
126,2019-01-30 10:00:00,1.1260748120834092
127,2019-01-30 11:00:00,0.785761472382159
128,2019-01-30 12:00:00,0.48198197082153943
129,2019-01-30 13:00:00,0.08171210977919853
130,2019-01-30 14:00:00,0.027721217934154375
131,2019-01-30 15:00:00,0.21999162677155665
132,2019-01-30 16:00:00,0.16588620425384798
