,pair,i,dist,ln(dj)
205,"[8, 206]",5,1.5383757668397349,0.43072716298410624
206,"[8, 206]",6,1.5556670594957416,0.44190443081447695
207,"[8, 206]",7,0.6811754546369305,-0.38393536337812517
208,"[8, 206]",8,0.5869412236333078,-0.532830594263973
209,"[8, 206]",9,0.24207436873816238,-1.4185102911997574
210,"[8, 206]",10,0.6545991139621625,-0.423732270472095
211,"[8, 206]",11,0.8386894538503472,-0.17591477947127415
212,"[8, 206]",12,1.4052046114355217,0.34018292309751885
213,"[8, 206]",13,2.140327077808322,0.7609586574522492
214,"[8, 206]",14,2.524143419063228,0.9259017651974667
215,"[8, 206]",15,2.5114338533990987,0.9208538463732086
216,"[8, 206]",16,2.58698666405537,0.95049374820621
217,"[8, 206]",17,2.3122499864851958,0.8382210706073608
218,"[8, 206]",18,2.0764633394306165,0.7306661289511762
219,"[8, 206]",19,1.1001818031581414,0.09547544174612824
220,"[8, 206]",20,0.9518928511130493,-0.04930280187698938
221,"[8, 206]",21,1.192811804099927,0.17631338054612458
222,"[8, 206]",22,1.320189380354156,0.277775196272718
223,"[8, 206]",23,1.4965627283879734,0.4031709641631563
224,"[8, 206]",24,1.7380736463107924,0.5527774001173579
225,"[9, 206]",0,0.855102333057213,-0.15653412942117448
226,"[9, 206]",1,0.8409518416652891,-0.1732208838291809
227,"[9, 206]",2,0.6942621983084738,-0.36490558246564947
228,"[9, 206]",3,0.5903388857257352,-0.5270585243909188
229,"[9, 206]",4,1.4743473132203027,0.3882153923483241
230,"[9, 206]",5,1.6619265928433224,0.5079775274935167
231,"[9, 206]",6,0.7566372975210959,-0.2788712717768473
232,"[9, 206]",7,0.6046486583131929,-0.5031077197011472
233,"[9, 206]",8,0.07280109889273897,-2.62002422921294
234,"[9, 206]",9,0.6300793600809966,-0.46190949914737484
235,"[9, 206]",10,0.8323460818672692,-0.1835069608671039
236,"[9, 206]",11,1.6573774464495354,0.5052365015506294
237,"[9, 206]",12,2.016953147695606,0.7015880299941066
238,"[9, 206]",13,2.571633721975194,0.9445413864266662
239,"[9, 206]",14,2.531481779511703,0.9288048148951907
240,"[9, 206]",15,2.530316185775971,0.9283442695457605
241,"[9, 206]",16,2.3901882771029728,0.8713721398712045
242,"[9, 206]",17,2.403372630284421,0.8768730135149416
243,"[9, 206]",18,1.0893117092916442,0.08554603742115387
244,"[9, 206]",19,0.9362157870919173,-0.06590928731034505
245,"[9, 206]",20,0.9848857801797305,-0.015229603742232407
246,"[9, 206]",21,1.1543396380613955,0.1435284385288238
247,"[9, 206]",22,1.529477034806332,0.42492586965878576
248,"[9, 206]",23,1.6664333169977936,0.5106856041623796
249,"[9, 206]",24,1.3172699040059397,0.27556134026521123
250,"[10, 206]",0,0.7532595834106534,-0.28334537830370093
251,"[10, 206]",1,0.3361547262796338,-1.0901837301342987
252,"[10, 206]",2,0.3546829570193363,-1.0365309673579766
253,"[10, 206]",3,1.3482581355214416,0.2988134893511988
254,"[10, 206]",4,1.5979048782702954,0.4686933200844455
255,"[10, 206]",5,0.8609297300011548,-0.14974239228555972
256,"[10, 206]",6,0.6444377394287769,-0.43937706417262773
257,"[10, 206]",7,0.450111097396899,-0.7982608435841703
258,"[10, 206]",8,0.540832691319611,-0.6146453061550896
259,"[10, 206]",9,0.8080222769205315,-0.21316565039489707
260,"[10, 206]",10,1.6770509831247,0.5170368837651844
261,"[10, 206]",11,2.2227910383117804,0.7987636307040479
262,"[10, 206]",12,2.4505101509684812,0.8962962277659375
263,"[10, 206]",13,2.57390753524666,0.945425185936108
264,"[10, 206]",14,2.544209110902741,0.9338198397817264
265,"[10, 206]",15,2.346912865872964,0.8531007904332087
266,"[10, 206]",16,2.4787295132789144,0.907746135877286
267,"[10, 206]",17,1.4138246001539334,0.3462985146273395
268,"[10, 206]",18,1.0323274674248228,0.0318159301222688
269,"[10, 206]",19,0.9818350166908029,-0.01833199218567687
270,"[10, 206]",20,1.034842983258777,0.03424970821231142
271,"[10, 206]",21,1.402462120700475,0.33822934963677204
272,"[10, 206]",22,1.79922205411126,0.5873543793197576
273,"[10, 206]",23,1.3290974381134764,0.2845000939084765
274,"[10, 206]",24,1.0288342918080473,0.028426405796469923
275,"[11, 203]",0,0.3337663853657188,-1.097313975744039
276,"[11, 203]",1,0.28284271247481196,-1.2628643221534455
277,"[11, 203]",2,1.2611502686040355,0.23202421610354054
278,"[11, 203]",3,1.3711673858430848,0.31566248345823716
279,"[11, 203]",4,0.7576938695806127,-0.27747584090423594
280,"[11, 203]",5,0.515460958754429,-0.6626937131081185
281,"[11, 203]",6,0.4981967482830576,-0.6967602031061934
282,"[11, 203]",7,0.6441273166076403,-0.43985887582146543
283,"[11, 203]",8,0.6735725647620628,-0.39515954615595145
284,"[11, 203]",9,0.9932270636666288,-0.006795976759817868
285,"[11, 203]",10,1.775190130662058,0.5739075330568326
286,"[11, 203]",11,2.4937722430084457,0.9137965211183916
287,"[11, 203]",12,2.6113789460741508,0.9598784136456568
288,"[11, 203]",13,2.6328691574022653,0.9680741859266881
289,"[11, 203]",14,2.4520399670478894,0.8969203177159576
290,"[11, 203]",15,2.4700809703326643,0.9042509316137839
291,"[11, 203]",16,1.5028306624501018,0.4073504380563078
292,"[11, 203]",17,1.3960659010233565,0.33365821026275194
293,"[11, 203]",18,1.4484474446799969,0.37049225498705574
294,"[11, 203]",19,1.3631214179228308,0.3097772301282722
295,"[11, 203]",20,1.460547842420817,0.37881159987217927
296,"[11, 203]",21,1.4785127662620785,0.39103669487716053
297,"[11, 203]",22,1.6058953888719547,0.47368147571432284
298,"[11, 203]",23,1.7348775172905122,0.5509368156852558
299,"[11, 203]",24,1.6699999999998454,0.5128236264285712
300,"[12, 203]",0,0.06324555320331006,-2.760730458932033
301,"[12, 203]",1,1.3290974381137193,0.2845000939086593
302,"[12, 203]",2,1.3534031180693933,0.3026222486920051
303,"[12, 203]",3,0.8947066558375402,-0.11125937327268724
304,"[12, 203]",4,0.5685947590330788,-0.5645872971255528
305,"[12, 203]",5,0.6946221994724804,-0.3643871791015624
306,"[12, 203]",6,0.6332456079595837,-0.45689692583765573
307,"[12, 203]",7,0.698569967863,-0.35871993656437934
308,"[12, 203]",8,0.8883692925805234,-0.11836775241682593
309,"[12, 203]",9,1.7290459797239608,0.5475697995945003
310,"[12, 203]",10,2.207804339156979,0.7919985099761132
311,"[12, 203]",11,2.519245918920781,0.9239596182190517
312,"[12, 203]",12,2.612680615766154,0.9603767501226945
313,"[12, 203]",13,2.4303291958087296,0.8880267197032448
314,"[12, 203]",14,2.536178227175617,0.930658312960275
315,"[12, 203]",15,1.5108275877809576,0.41265757206868725
316,"[12, 203]",16,1.4312232530252107,0.3585295003031453
317,"[12, 203]",17,1.460308186651151,0.37864750019193594
318,"[12, 203]",18,1.3748090776539663,0.3183148688623205
319,"[12, 203]",19,1.5200328943808896,0.41873197566408005
320,"[12, 203]",20,1.6936646657471386,0.5268946225299582
321,"[12, 203]",21,1.346291201783609,0.2973535538733338
322,"[12, 203]",22,1.6724233913696225,0.5142737071099595
323,"[12, 203]",23,1.8738463117341202,0.6279931696389229
324,"[12, 203]",24,1.6013119621109666,0.470823269568168
325,"[13, 202]",0,0.826801064343722,-0.1901911638704153
326,"[13, 202]",1,1.08503456166154,0.08161184055102837
327,"[13, 202]",2,0.8417244204609304,-0.17230260992549687
328,"[13, 202]",3,0.6296824596571,-0.46253961895385
329,"[13, 202]",4,1.1119802156513099,0.10614240398964009
330,"[13, 202]",5,1.2975746606650205,0.26049687634079155
331,"[13, 202]",6,0.9899494936611987,-0.010101353658727268
332,"[13, 202]",7,1.0840664186294413,0.08071917293879209
333,"[13, 202]",8,1.6867127793432206,0.5227815337891
334,"[13, 202]",9,2.051828452868381,0.7187313238471752
335,"[13, 202]",10,2.3020860105564496,0.8338156730058881
336,"[13, 202]",11,2.375310506018288,0.8651281683170784
337,"[13, 202]",12,2.358495283014151,0.8580238237461792
338,"[13, 202]",13,2.491124244191739,0.9127341122709561
339,"[13, 202]",14,1.5041608956492003,0.40823519829601723
340,"[13, 202]",15,1.4903019828208974,0.39897877245612234
341,"[13, 202]",16,1.4342245291446036,0.36062430533542467
342,"[13, 202]",17,1.3805071531867896,0.32245093396594765
343,"[13, 202]",18,1.5420765220960588,0.4331298991342691
344,"[13, 202]",19,1.8330848316431612,0.6060002480066177
345,"[13, 202]",20,1.4368368035375267,0.36244403317198876
346,"[13, 202]",21,1.3147243057006488,0.2736269901897864
347,"[13, 202]",22,1.5542522317821852,0.44099455008854704
348,"[13, 202]",23,1.7302600960549432,0.5482717417495094
349,"[13, 202]",24,1.701058493997237,0.5312507008279012
350,"[14, 202]",0,0.9462557793746477,-0.05524236658767957
351,"[14, 202]",1,0.5412023651094084,-0.6139620125741948
352,"[14, 202]",2,0.6530696746903023,-0.42607145602508756
353,"[14, 202]",3,1.0113851887385794,0.011320865240300827
354,"[14, 202]",4,1.4138246001538657,0.3462985146272916
355,"[14, 202]",5,1.3805071531867286,0.3224509339659034
356,"[14, 202]",6,1.1527792503336476,0.1421757661775897
357,"[14, 202]",7,1.8038015411901276,0.5898964051620825
358,"[14, 202]",8,2.115206845677278,0.7491526070907938
359,"[14, 202]",9,2.201930970761829,0.7893346893812454
360,"[14, 202]",10,2.3769307941125186,0.8658100731508971
361,"[14, 202]",11,2.235799633241072,0.804598941814837
362,"[14, 202]",12,2.48128998708323,0.9087785810245569
363,"[14, 202]",13,1.4934523762076364,0.40109047079208665
364,"[14, 202]",14,1.4681961721786174,0.3840345535385894
365,"[14, 202]",15,1.5654072952430287,0.4481460426837519
366,"[14, 202]",16,1.3930183056943992,0.3314728359133333
367,"[14, 202]",17,1.5502902953962712,0.43844220074750156
368,"[14, 202]",18,1.782722636867579,0.5781417669752625
369,"[14, 202]",19,1.5768639763784456,0.4554380495863367
370,"[14, 202]",20,1.2839003076563769,0.24990256024130483
371,"[14, 202]",21,1.412869420717858,0.3456226866350782
372,"[14, 202]",22,1.4601369798755577,0.378530253151826
373,"[14, 202]",23,1.643045951883364,0.49655180694361456
374,"[14, 202]",24,1.1543396380616022,0.14352843852900288
375,"[15, 195]",0,0.22803508501983957,-1.4782557802003022
376,"[15, 195]",1,0.20808652046684462,-1.5698013219868632
377,"[15, 195]",2,0.24698178070453808,-1.3984407074045397
378,"[15, 195]",3,0.4604345773288891,-0.7755845021549851
379,"[15, 195]",4,0.5442425929674423,-0.6083601885743458
380,"[15, 195]",5,1.4596232390585246,0.37817834697884417
381,"[15, 195]",6,2.198590457542972,0.7878164539107678
382,"[15, 195]",7,2.7727603574777744,1.0198433429489062
383,"[15, 195]",8,2.933734821008753,1.0762762942485364
384,"[15, 195]",9,2.8476305940202304,1.0464872779812107
385,"[15, 195]",10,2.8574289142513996,1.049922239474996
386,"[15, 195]",11,3.223972704599126,1.1706143582931348
387,"[15, 195]",12,2.309567058996081,0.8370600866202971
388,"[15, 195]",13,1.6619265928434566,0.5079775274935973
389,"[15, 195]",14,1.4068404316056735,0.34134636132815377
390,"[15, 195]",15,1.5305554547287608,0.42563071182681084
391,"[15, 195]",16,1.8517289218457895,0.6161197550171473
392,"[15, 195]",17,2.2635591443565994,0.8169384171555965
393,"[15, 195]",18,1.9742593547961012,0.6801933177893422
394,"[15, 195]",19,1.4578408692310443,0.376956484441331
395,"[15, 195]",20,1.3174596768022484,0.2757053951223163
396,"[15, 195]",21,1.244548110761517,0.21877250078580782
397,"[15, 195]",22,1.1670903992408763,0.15451381323566318
398,"[15, 195]",23,0.8956003573024182,-0.11026099530449253
399,"[15, 195]",24,0.5108815909778214,-0.6716174358296644
400,"[16, 202]",0,0.050990195135881475,-2.97612191697826
401,"[16, 202]",1,0.8112336284942485,-0.20919919176007404
402,"[16, 202]",2,1.2371337841964565,0.21279723970174497
403,"[16, 202]",3,1.3810141201304686,0.32281809894437663
404,"[16, 202]",4,1.4541320435228726,0.3744091889652044
405,"[16, 202]",5,2.2475764725586203,0.809852512394845
406,"[16, 202]",6,2.3551008470975887,0.8565835490982688
407,"[16, 202]",7,2.361715478206464,0.8593882525205663
408,"[16, 202]",8,2.3373489255993705,0.8490173493324199
409,"[16, 202]",9,2.164809460437756,0.7723323485457522
410,"[16, 202]",10,2.4893774322107327,0.9120326519899934
411,"[16, 202]",11,1.5646085772487996,0.4476356823251446
412,"[16, 202]",12,1.4047063750121698,0.33982829518868013
413,"[16, 202]",13,1.528397853963486,0.4242200324830308
414,"[16, 202]",14,1.3799275343292179,0.3220309864347046
415,"[16, 202]",15,1.5611534197508659,0.44542491969606485
416,"[16, 202]",16,1.888597363124298,0.6358344176393009
417,"[16, 202]",17,1.4860013458943444,0.3960888520114052
418,"[16, 202]",18,1.3756816492197308,0.31894935316471185
419,"[16, 202]",19,1.5231874474272662,0.4208051440987818
420,"[16, 202]",20,1.324386650491417,0.28094944697495994
421,"[16, 202]",21,1.2490396310766323,0.22237496088554928
422,"[16, 202]",22,0.8417244204609304,-0.17230260992549687
423,"[16, 202]",23,0.7416872656315677,-0.2988275995503335
424,"[16, 202]",24,1.0829589096543928,0.07969702607505307
425,"[17, 214]",0,0.07280109889273897,-2.62002422921294
426,"[17, 214]",1,0.6300793600809966,-0.46190949914737484
427,"[17, 214]",2,0.8323460818672692,-0.1835069608671039
428,"[17, 214]",3,1.6573774464495354,0.5052365015506294
429,"[17, 214]",4,2.016953147695606,0.7015880299941066
430,"[17, 214]",5,2.571633721975194,0.9445413864266662
431,"[17, 214]",6,2.531481779511703,0.9288048148951907
432,"[17, 214]",7,2.530316185775971,0.9283442695457605
433,"[17, 214]",8,2.3901882771029728,0.8713721398712045
434,"[17, 214]",9,2.403372630284421,0.8768730135149416
435,"[17, 214]",10,1.0893117092916442,0.08554603742115387
436,"[17, 214]",11,0.9362157870919173,-0.06590928731034505
437,"[17, 214]",12,0.9848857801797305,-0.015229603742232407
438,"[17, 214]",13,1.1543396380613955,0.1435284385288238
439,"[17, 214]",14,1.529477034806332,0.42492586965878576
440,"[17, 214]",15,1.6664333169977936,0.5106856041623796
441,"[17, 214]",16,1.3172699040059397,0.27556134026521123
442,"[17, 214]",17,1.0735455276792347,0.0709667479443708
443,"[17, 214]",18,1.0413932974625764,0.040559525642385894
444,"[17, 214]",19,0.9024965373893766,-0.1025904254701325
445,"[17, 214]",20,0.8551023330574362,-0.15653412942091338
446,"[17, 214]",21,0.6873136110976662,-0.3749645973293443
447,"[17, 214]",22,0.6964194138591995,-0.36180319402233624
448,"[17, 214]",23,0.952102935611334,-0.04908212439377012
449,"[17, 214]",24,1.072007462660516,0.06953302406142811
450,"[18, 131]",0,0.050990195135881475,-2.97612191697826
451,"[18, 131]",1,0.5470831746636067,-0.6031544320617246
452,"[18, 131]",2,1.2701574705523537,0.23914088534496614
453,"[18, 131]",3,1.7889941307895998,0.5816535237999036
454,"[18, 131]",4,2.285607140345807,0.8266316959870399
455,"[18, 131]",5,2.214158982548368,0.7948726395441438
456,"[18, 131]",6,2.43402958075704,0.8895481476373535
457,"[18, 131]",7,2.1883783950678746,0.7831608106802201
458,"[18, 131]",8,2.227487373701596,0.8008742119748634
459,"[18, 131]",9,1.333304166347661,0.2876601969732602
460,"[18, 131]",10,1.2073938876769534,0.18846422498287377
461,"[18, 131]",11,1.064048871058137,0.06208132131025363
462,"[18, 131]",12,0.8499999999998635,-0.16251892949793548
463,"[18, 131]",13,1.1825819210522672,0.16770011682982097
464,"[18, 131]",14,1.4454411091428667,0.36841454082307257
