DATE,lyapunov_exponent,error
2019-01-02T00:00:00.000000000,0.0004053220397179726,4.625929269271486e-20
2019-01-03T00:00:00.000000000,0.000726868066388868,3.854941057726238e-20
2019-01-04T00:00:00.000000000,0.0004030577398358179,1.0793834961633466e-19
2019-01-07T00:00:00.000000000,0.0001988916299715331,1.6961740653995448e-19
2019-01-08T00:00:00.000000000,0.00040447879741818384,3.0839528461809904e-20
2019-01-09T00:00:00.000000000,0.0007779774271018256,7.324388009679852e-20
2019-01-10T00:00:00.000000000,0.0002645595915400667,5.396917480816733e-20
2019-01-11T00:00:00.000000000,0.0005300713916410657,1.1564823173178715e-20
2019-01-14T00:00:00.000000000,0.0007964782377073091,7.709882115452476e-20
2019-01-15T00:00:00.000000000,0.0006277340382482263,3.0839528461809904e-20
2019-01-16T00:00:00.000000000,0.000888523882007142,6.167905692361981e-20
2019-01-17T00:00:00.000000000,0.00030933395699253265,4.625929269271486e-20
2019-01-18T00:00:00.000000000,0.0002856299688462586,6.167905692361981e-20
2019-01-22T00:00:00.000000000,7.358850404119237e-06,1.0351917003821863e-05
2019-01-23T00:00:00.000000000,1.0818201760707429e-05,1.602430125833565e-05
2019-01-24T00:00:00.000000000,0.000622493232248512,2.505711687522055e-20
2019-01-25T00:00:00.000000000,0.0009238507778443621,1.1564823173178714e-19
2019-01-28T00:00:00.000000000,0.0007632381634682285,0.0
2019-01-29T00:00:00.000000000,0.0006286190676883631,4.625929269271486e-20
2019-01-30T00:00:00.000000000,7.156949848750424e-06,1.1127280981862445e-05
2019-01-31T00:00:00.000000000,0.00044154047913552724,3.56582047839677e-20
2019-02-01T00:00:00.000000000,0.0005216718557170504,1.5419764230904952e-20
2019-02-04T00:00:00.000000000,3.9773345307317845e-06,2.161910427592981e-05
2019-02-05T00:00:00.000000000,0.0005556650382692406,3.662194004839926e-20
2019-02-06T00:00:00.000000000,0.0008685046378161054,9.251858538542972e-20
2019-02-07T00:00:00.000000000,0.0002476986534808483,2.1587669923266932e-19
2019-02-08T00:00:00.000000000,0.00027523025152168575,1.5419764230904953e-19
2019-02-11T00:00:00.000000000,0.000960542801721932,3.854941057726238e-20
2019-02-12T00:00:00.000000000,1.3732376426776797e-05,2.8828422835610447e-05
2019-02-13T00:00:00.000000000,0.0002579843345865063,2.120217581749431e-20
2019-02-14T00:00:00.000000000,0.00023301259186820736,4.625929269271486e-20
2019-02-15T00:00:00.000000000,0.001169556439385169,1.5419764230904953e-19
2019-02-19T00:00:00.000000000,4.885290509756687e-06,1.6774472421422808e-05
2019-02-20T00:00:00.000000000,0.0009528996060655365,3.854941057726238e-20
2019-02-21T00:00:00.000000000,0.00033682685043981495,1.002284675008822e-19
2019-02-22T00:00:00.000000000,0.00041342344512893474,3.662194004839926e-20
2019-02-25T00:00:00.000000000,0.00022957125611501648,3.0839528461809904e-20
2019-02-26T00:00:00.000000000,0.0007397176254596508,3.0839528461809904e-20
2019-02-27T00:00:00.000000000,0.00012772842598885397,3.0839528461809904e-20
2019-02-28T00:00:00.000000000,0.0007439062839767242,6.938893903907229e-20
2019-03-01T00:00:00.000000000,0.0002980322225223171,0.0
2019-03-04T00:00:00.000000000,-2.335420157436617e-06,6.593848407414668e-06
2019-03-05T00:00:00.000000000,0.0009899931886243752,3.854941057726238e-20
2019-03-06T00:00:00.000000000,0.00047582238581098693,4.336808689942018e-20
2019-03-07T00:00:00.000000000,0.0005749151107639309,5.01142337504411e-20
2019-03-08T00:00:00.000000000,0.0009399924991690477,2.3900634557902675e-19
2019-03-11T00:00:00.000000000,1.5685926452764212e-06,2.611137807078153e-05
2019-03-12T00:00:00.000000000,0.0008582385092752757,6.938893903907229e-20
2019-03-13T00:00:00.000000000,-4.591458610739951e-06,7.915768180893214e-06
2019-03-14T00:00:00.000000000,0.0007746252696828361,8.480870326997724e-20
2019-03-15T00:00:00.000000000,5.945585604788732e-06,1.433120250161767e-05
2019-03-18T00:00:00.000000000,0.000640596479147566,0.0
2019-03-19T00:00:00.000000000,0.0006545940426397362,6.360652745248293e-20
2019-03-20T00:00:00.000000000,0.00027202273771498797,3.0839528461809904e-20
2019-03-21T00:00:00.000000000,1.0349386529892019e-05,8.330665211290514e-06
2019-03-22T00:00:00.000000000,0.00027281251798449963,1.5419764230904953e-19
2019-03-25T00:00:00.000000000,0.0008011605709741815,8.480870326997724e-20
2019-03-26T00:00:00.000000000,1.334232928575405e-05,4.075801585758188e-05
2019-03-27T00:00:00.000000000,7.1961415388037726e-06,1.8153236420542103e-05
2019-03-28T00:00:00.000000000,0.0002866612255453472,1.5419764230904952e-20
2019-03-29T00:00:00.000000000,0.0008791325124768492,7.709882115452476e-20
2019-04-01T00:00:00.000000000,0.00045666883023139223,2.2165911081925867e-20
2019-04-02T00:00:00.000000000,0.0009412957337942845,8.480870326997724e-20
2019-04-03T00:00:00.000000000,2.3561933718793483e-05,2.0245968709773472e-05
2019-04-04T00:00:00.000000000,0.000556216034311562,3.854941057726238e-20
2019-04-05T00:00:00.000000000,0.0010478037155616424,2.312964634635743e-19
2019-04-08T00:00:00.000000000,0.0003207529826917645,1.927470528863119e-20
2019-04-09T00:00:00.000000000,0.0008418238005762058,9.637352644315596e-20
2019-04-10T00:00:00.000000000,0.0008943395323700553,6.938893903907229e-20
2019-04-11T00:00:00.000000000,0.0003928282601727534,3.903127820947816e-20
2019-04-12T00:00:00.000000000,0.000555731340684803,1.2335811384723962e-19
2019-04-15T00:00:00.000000000,0.0005583614301665385,1.002284675008822e-19
