DATE,lyapunov_exponent,error
2019-01-02,29.54161627303273,0.06534580983942616
2019-01-03,96.91793739160777,0.10060877289456482
2019-01-04,40.11661216208907,0.06549127234874576
2019-01-07,17.70259314171588,0.024268623908150558
2019-01-08,21.563219617636292,0.029537888398673027
2019-01-09,60.80233372820943,0.06707345724336565
2019-01-10,-17.93494565715201,0.011817128808199786
2019-01-11,34.55842381122458,0.10041387870207295
2019-01-14,63.4993959309194,0.026822291002561387
2019-01-15,54.400058516753035,0.060249389952903055
2019-01-16,73.53686803589522,0.06386612688659804
